2026-03-18 14:01:48,975 [INFO] 开始通过浪潮 AD 接口配置 58 台服务器...
2026-03-18 14:02:21,845 [INFO] [FAILED] 172.61.168.24: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:02:23,366 [INFO] [FAILED] 172.61.168.16: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:02:23,717 [INFO] [FAILED] 172.61.168.13: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:02:24,740 [INFO] [FAILED] 172.61.168.14: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:02:25,551 [INFO] [FAILED] 172.61.168.26: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:02:26,030 [INFO] [FAILED] 172.61.168.15: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:02:26,322 [INFO] [FAILED] 172.61.168.17: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:02:26,433 [INFO] [FAILED] 172.61.168.27: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:02:27,501 [INFO] [FAILED] 172.61.168.23: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:02:30,779 [INFO] [FAILED] 172.61.168.25: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:02:59,119 [INFO] [FAILED] 172.61.168.33: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:02:59,214 [INFO] [FAILED] 172.61.168.28: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:03:01,016 [INFO] [FAILED] 172.61.168.32: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
2026-03-18 14:03:01,371 [INFO] [FAILED] 172.61.168.36: AD 已配置，但验证账号单次登录失败（status=401 body={ "error": "Could not login", "code": 1009 }）
